filename,style_bucket,artist,title,license,source_url
"wmri-ambiental-party.mp3","meditation_relaxing","WMRI","Ambiental Party","CC BY-SA 3.0","https://archive.org/details/wmri-deep-forest"
"wmri-deep-in-the-water.mp3","meditation_relaxing","WMRI","Deep in the Water","CC BY-SA 3.0","https://archive.org/details/wmri-ocean-heart"
"wmri-the-world-of-waves.mp3","meditation_relaxing","WMRI","The World of Waves","CC BY-SA 3.0","https://archive.org/details/wmri-ocean-heart"
"wmri-ocean-heart.mp3","meditation_relaxing","WMRI","Ocean Heart","CC BY-SA 3.0","https://archive.org/details/wmri-ocean-heart"
"kahvi015-esem-outburst-then-flat.mp3","triphop_downtempo","Esem","Outburst (Then Flat)","CC BY 1.0","https://archive.org/details/kahvi015"
"kahvi018-jean-nine-cramshafter.mp3","triphop_downtempo","Jean Nine","Cramshafter","CC BY 1.0","https://archive.org/details/kahvi018"
"wmri-buoyant-iceberg.mp3","meditation_relaxing","WMRI","Buoyant Iceberg","CC BY-SA 3.0","https://archive.org/details/wmri-celestine-glacier"
"kahvi032-xhale-fall-sounds-like.mp3","triphop_downtempo","Xhale","Fall Sounds Like","CC BY 1.0","https://archive.org/details/kahvi032"
"kahvi042-4t-thieves-the-beginning.mp3","triphop_downtempo","4T Thieves","The Beginning","CC BY 1.0","https://archive.org/details/kahvi042"
"wmri-timeless-glacier.mp3","meditation_relaxing","WMRI","Timeless Glacier","CC BY-SA 3.0","https://archive.org/details/wmri-celestine-glacier"
"kahvi042-4t-thieves-tidal-blues.mp3","triphop_downtempo","4T Thieves","Tidal Blues","CC BY 1.0","https://archive.org/details/kahvi042"
"derek-nigell-sleepy-ocean.mp3","meditation_relaxing","Derek Nigell","Sleepy Ocean","CC BY 4.0","https://archive.org/details/derek-nigell-distant-ocean"
"kahvi049-4t-thieves-aliens-stole-my-harddrive.ogg","triphop_downtempo","4T Thieves","Aliens Stole My Harddrive","CC BY 1.0","https://archive.org/details/kahvi049"
"kahvi052-pinza-alternaton.ogg","triphop_downtempo","Pinza","Alternaton","CC BY 1.0","https://archive.org/details/kahvi052"
"derek-nigell-waves-and-blue.mp3","meditation_relaxing","Derek Nigell","Waves and Blue","CC BY 4.0","https://archive.org/details/derek-nigell-distant-ocean"
"derek-nigell-a-myriad-of-dreams.mp3","meditation_relaxing","Derek Nigell","A Myriad of Dreams","CC BY 4.0","https://archive.org/details/derek-nigell-distant-ocean"
"kahvi055-unicode-poems.ogg","triphop_downtempo","Unicode","Poems","CC BY 1.0","https://archive.org/details/kahvi055"
"digi-hartatak-mysoace.mp3","triphop_downtempo","Digi Hartatak","Mysoace","CC BY 3.0","https://archive.org/details/mysoace"
"digi-hartatak-more-dnb.mp3","liquid_dnb","Digi Hartatak","More DNB","CC BY 3.0","https://archive.org/details/morednb"
"digi-hartatak-machine-language.mp3","liquid_dnb","Digi Hartatak","Machine Language","CC BY 3.0","https://archive.org/details/machine_language"
"digi-hartatak-eclecticity-birth.mp3","liquid_dnb","Digi Hartatak","Eclecticity - Birth","CC BY 3.0","https://archive.org/details/Eclecticity"
"digi-hartatak-eclecticity-relaxation.mp3","liquid_dnb","Digi Hartatak","Eclecticity - Relaxation","CC BY 3.0","https://archive.org/details/Eclecticity"
"digi-hartatak-quarkstar.mp3","liquid_dnb","Digi Hartatak","Quark Star","CC BY 3.0","https://archive.org/details/quarkstar"
"leon-lamont-american-black.mp3","liquid_dnb","Leon Lamont","American Black","CC BY 3.0","https://archive.org/details/AmericanBlack"
"twintowerconnection-elektronnaja-muzika-1.mp3","deep_house_yoga","TwinTowerConnection","Elektronnaja Muzika (part 1)","CC BY-SA 2.5","https://archive.org/details/tek05"
"twintowerconnection-into-deep.mp3","deep_house_yoga","TwinTowerConnection","Into Deep","CC BY-SA 2.5","https://archive.org/details/tek05"
"pasquale-house.mp3","deep_house_yoga","Pasquale","H.O.U.S.E","CC BY-SA 2.5","https://archive.org/details/tek07"
"pasquale-sunshine-come-back.mp3","deep_house_yoga","Pasquale","Sunshine Come Back","CC BY-SA 2.5","https://archive.org/details/tek07"
"labam-straight-outta-espelkamp.mp3","deep_house_yoga","Labam","Straight Outta Espelkamp","CC BY-SA 2.5","https://archive.org/details/tek08"
"digi-hartatak-funky-louie.mp3","deep_house_yoga","Digi Hartatak","Funky Louie","CC BY 3.0","https://archive.org/details/funkylouie"
"mehta-stay-like-that.mp3","deep_house_yoga","Mehta","Stay Like That","CC BY 4.0","https://archive.org/details/yarn021"
"mehta-keep-this-room.mp3","deep_house_yoga","Mehta","Keep This Room","CC BY 4.0","https://archive.org/details/yarn021"
"kahvi055-unicode-poems.ogg","triphop_downtempo","Unicode","Poems","CC BY 1.0","https://archive.org/details/kahvi055"
"digi-hartatak-mysoace.mp3","triphop_downtempo","Digi Hartatak","Mysoace","CC BY 3.0","https://archive.org/details/mysoace"
"digi-hartatak-more-dnb.mp3","liquid_dnb","Digi Hartatak","More DNB","CC BY 3.0","https://archive.org/details/morednb"
"digi-hartatak-machine-language.mp3","liquid_dnb","Digi Hartatak","Machine Language","CC BY 3.0","https://archive.org/details/machine_language"
"digi-hartatak-eclecticity-birth.mp3","liquid_dnb","Digi Hartatak","Eclecticity - Birth","CC BY 3.0","https://archive.org/details/Eclecticity"
"digi-hartatak-eclecticity-relaxation.mp3","liquid_dnb","Digi Hartatak","Eclecticity - Relaxation","CC BY 3.0","https://archive.org/details/Eclecticity"
"digi-hartatak-quarkstar.mp3","liquid_dnb","Digi Hartatak","Quark Star","CC BY 3.0","https://archive.org/details/quarkstar"
"leon-lamont-american-black.mp3","liquid_dnb","Leon Lamont","American Black","CC BY 3.0","https://archive.org/details/AmericanBlack"
"twintowerconnection-elektronnaja-muzika-1.mp3","deep_house_yoga","TwinTowerConnection","Elektronnaja Muzika (part 1)","CC BY-SA 2.5","https://archive.org/details/tek05"
"twintowerconnection-into-deep.mp3","deep_house_yoga","TwinTowerConnection","Into Deep","CC BY-SA 2.5","https://archive.org/details/tek05"
"pasquale-house.mp3","deep_house_yoga","Pasquale","H.O.U.S.E","CC BY-SA 2.5","https://archive.org/details/tek07"
"pasquale-sunshine-come-back.mp3","deep_house_yoga","Pasquale","Sunshine Come Back","CC BY-SA 2.5","https://archive.org/details/tek07"
"labam-straight-outta-espelkamp.mp3","deep_house_yoga","Labam","Straight Outta Espelkamp","CC BY-SA 2.5","https://archive.org/details/tek08"
"digi-hartatak-funky-louie.mp3","deep_house_yoga","Digi Hartatak","Funky Louie","CC BY 3.0","https://archive.org/details/funkylouie"
"mehta-stay-like-that.mp3","deep_house_yoga","Mehta","Stay Like That","CC BY 4.0","https://archive.org/details/yarn021"
"mehta-keep-this-room.mp3","deep_house_yoga","Mehta","Keep This Room","CC BY 4.0","https://archive.org/details/yarn021"
"broke-for-free-wash-out.mp3","triphop_downtempo","Broke For Free","Wash Out","CC BY 4.0","https://brokeforfree.bandcamp.com/track/wash-out"
"broke-for-free-something-jah.mp3","triphop_downtempo","Broke For Free","Something Jah","CC BY 4.0","https://brokeforfree.bandcamp.com/album/something-ep"
"broke-for-free-something-old.mp3","triphop_downtempo","Broke For Free","Something Old","CC BY 4.0","https://brokeforfree.bandcamp.com/album/something-ep"
"komiku-ambiant-anxiety.mp3","meditation_relaxing","Komiku","Ambiant Anxiety","CC BY 4.0","https://chezmonplaisir.bandcamp.com/album/the-binge-watchers-score-1"
"komiku-ambiant-hope.mp3","meditation_relaxing","Komiku","Ambiant Hope","CC BY 4.0","https://chezmonplaisir.bandcamp.com/album/the-binge-watchers-score-1"
"frederic-lardon-love-deep-sea.mp3","deep_house_yoga","Frederic Lardon","Love Deep Sea","CC BY 4.0","https://chezmonplaisir.bandcamp.com/album/robots-feelings"
"frederic-lardon-robot-is-chilling.mp3","deep_house_yoga","Frederic Lardon","Robot is chilling","CC BY 4.0","https://chezmonplaisir.bandcamp.com/album/robots-feelings"
"stocksonglibrary-dnb-001.mp3","liquid_dnb","Stock Song Library","DnB 001","CC BY 4.0","https://stocksonglibrary.bandcamp.com/album/atmospheric-drum-and-bass-vol-1"
"stocksonglibrary-dnb-002.mp3","liquid_dnb","Stock Song Library","DnB 002","CC BY 4.0","https://stocksonglibrary.bandcamp.com/album/atmospheric-drum-and-bass-vol-1"
"scott-buckley-sleep.mp3","meditation_relaxing","Scott Buckley","Sleep","CC BY 4.0","https://soundcloud.com/scottbuckley (audio: https://www.scottbuckley.com.au/library/sleep/)"
"scott-buckley-in-this-moment.mp3","meditation_relaxing","Scott Buckley","In This Moment","CC BY 4.0","https://soundcloud.com/scottbuckley (audio: https://www.scottbuckley.com.au/library/in-this-moment/)"
"scott-buckley-penumbra.mp3","meditation_relaxing","Scott Buckley","Penumbra","CC BY 4.0","https://soundcloud.com/scottbuckley (audio: https://www.scottbuckley.com.au/library/penumbra/)"
"scott-buckley-amberlight.mp3","meditation_relaxing","Scott Buckley","Amberlight","CC BY 4.0","https://soundcloud.com/scottbuckley (audio: https://www.scottbuckley.com.au/library/amberlight/)"
"scott-buckley-unraveling.mp3","meditation_relaxing","Scott Buckley","Unraveling","CC BY 4.0","https://soundcloud.com/scottbuckley (audio: https://www.scottbuckley.com.au/library/unraveling/)"
"scott-buckley-echoes-of-home.mp3","meditation_relaxing","Scott Buckley","Echoes Of Home","CC BY 4.0","https://soundcloud.com/scottbuckley (audio: https://www.scottbuckley.com.au/library/echoes-of-home/)"
